,open,high,low,close,volume,symbol,cached_at
2024-01-01,100.0,102.0,99.0,101.0,1000,TEST,2026-02-17 12:46:32.834720
2024-01-02,101.0,103.0,100.0,102.0,1100,TEST,2026-02-17 12:46:32.834720
2024-01-03,102.0,104.0,101.0,103.0,1200,TEST,2026-02-17 12:46:32.834720
2025-09-15,11.7,11.72,11.63,11.65,84038660,000001.SS,2026-02-17 12:53:50.101709
2025-09-16,11.66,11.71,11.61,11.64,70804850,000001.SS,2026-02-17 12:53:50.101709
2025-09-17,11.64,11.67,11.58,11.64,77112890,000001.SS,2026-02-17 12:53:50.101709
2025-09-18,11.65,11.66,11.38,11.41,138616040,000001.SS,2026-02-17 12:53:50.101709
2025-09-19,11.41,11.51,11.37,11.45,83465120,000001.SS,2026-02-17 12:53:50.101709
2025-09-22,11.44,11.47,11.37,11.38,59640230,000001.SS,2026-02-17 12:53:50.101709
2025-09-23,11.37,11.58,11.32,11.52,134143020,000001.SS,2026-02-17 12:53:50.101709
2025-09-24,11.51,11.62,11.43,11.46,113958350,000001.SS,2026-02-17 12:53:50.101709
2025-09-25,11.43,11.47,11.36,11.4,77327590,000001.SS,2026-02-17 12:53:50.101709
2025-09-26,11.39,11.44,11.32,11.4,75323880,000001.SS,2026-02-17 12:53:50.101709
2025-09-29,11.4,11.48,11.27,11.37,117601240,000001.SS,2026-02-17 12:53:50.101709
2025-09-30,11.37,11.37,11.29,11.34,83247950,000001.SS,2026-02-17 12:53:50.101709
2025-10-09,11.33,11.41,11.27,11.4,104746910,000001.SS,2026-02-17 12:53:50.101709
2025-10-10,11.37,11.49,11.36,11.43,108794780,000001.SS,2026-02-17 12:53:50.101709
2025-10-13,11.32,11.46,11.28,11.4,116880170,000001.SS,2026-02-17 12:53:50.101709
2025-10-14,11.39,11.6,11.36,11.57,184342840,000001.SS,2026-02-17 12:53:50.101709
2025-10-15,11.34,11.42,11.26,11.4,127106100,000001.SS,2026-02-17 12:53:50.101709
2025-10-16,11.38,11.55,11.36,11.54,126193690,000001.SS,2026-02-17 12:53:50.101709
2025-10-17,11.5,11.58,11.38,11.4,103966630,000001.SS,2026-02-17 12:53:50.101709
2025-10-20,11.41,11.45,11.27,11.42,95264110,000001.SS,2026-02-17 12:53:50.101709
2025-10-21,11.4,11.47,11.39,11.43,76116460,000001.SS,2026-02-17 12:53:50.101709
2025-10-22,11.4,11.54,11.4,11.52,83370320,000001.SS,2026-02-17 12:53:50.101709
